repository_name,date,clones,unique_cloners
embedded-banking,2024-01-17,4,4
embedded-banking,2024-01-18,10,6
embedded-banking,2024-01-19,5,5
embedded-banking,2024-01-20,2,1
embedded-banking,2024-01-21,1,1
embedded-banking,2024-01-22,17,9
embedded-banking,2024-01-23,1,1
embedded-banking,2024-01-24,1,1
embedded-banking,2024-01-25,18,10
embedded-banking,2024-01-26,2,2
embedded-banking,2024-01-27,1,1
embedded-banking,2024-01-28,1,1
embedded-banking,2024-01-29,2,1
embedded-banking,2024-01-30,1,1
embedded-banking,2024-01-31,5,4
embedded-banking,2024-02-01,44,11
embedded-banking,2024-02-02,24,11
embedded-banking,2024-02-03,1,1
embedded-banking,2024-02-04,2,1
embedded-banking,2024-02-05,2,2
embedded-banking,2024-02-06,14,10
embedded-banking,2024-02-07,9,8
embedded-banking,2024-02-08,2,2
embedded-banking,2024-02-09,1,1
embedded-banking,2024-02-10,1,1
embedded-banking,2024-02-11,1,1
embedded-banking,2024-02-12,1,1
embedded-banking,2024-02-13,3,3
embedded-banking,2024-02-14,31,11
embedded-banking,2024-02-15,4,4
embedded-banking,2024-02-16,1,1
embedded-banking,2024-02-17,1,1
embedded-banking,2024-02-18,5,4
embedded-banking,2024-02-19,6,5
embedded-banking,2024-02-20,4,3
embedded-banking,2024-02-21,4,3
embedded-banking,2024-02-22,3,3
embedded-banking,2024-02-23,5,3
embedded-banking,2024-02-24,5,3
embedded-banking,2024-02-25,3,3
embedded-banking,2024-02-26,5,4
embedded-banking,2024-02-27,15,8
embedded-banking,2024-02-28,12,6
embedded-banking,2024-02-29,10,6
embedded-banking,2024-03-01,3,3
