repository_name,date,clones,unique_cloners
embedded-banking,2024-01-19,7,6
embedded-banking,2024-01-28,3,1
embedded-banking,2024-01-29,4,2
embedded-banking,2024-01-20,2,1
embedded-banking,2024-02-01,3,2
embedded-banking,2024-01-21,2,1
embedded-banking,2024-01-30,2,1
embedded-banking,2024-01-22,19,10
embedded-banking,2024-01-31,18,11
embedded-banking,2024-01-23,8,7
embedded-banking,2024-01-24,2,1
embedded-banking,2024-01-25,20,10
embedded-banking,2024-01-17,4,4
embedded-banking,2024-01-26,4,3
embedded-banking,2024-01-18,10,6
embedded-banking,2024-01-27,2,1
