repository_name,date,views,unique_visitors/cloners
embedded-banking,2024-01-28,30,1
embedded-banking,2024-01-19,57,6
embedded-banking,2024-01-29,63,11
embedded-banking,2024-01-20,7,2
embedded-banking,2024-02-01,146,6
embedded-banking,2024-01-30,16,2
embedded-banking,2024-01-21,1,1
embedded-banking,2024-02-02,99,14
embedded-banking,2024-01-31,64,5
embedded-banking,2024-01-22,103,7
embedded-banking,2024-01-23,11,6
embedded-banking,2024-02-03,2,2
embedded-banking,2024-01-24,14,2
embedded-banking,2024-01-25,47,9
embedded-banking,2024-01-26,21,3
embedded-banking,2024-01-17,8,2
embedded-banking,2024-01-27,1,1
embedded-banking,2024-01-18,24,3
